speaker,title,Start Time,End Time,volatility
Chair Jerome H. Powell,Review and Outlook,2024-08-23 10:00:00,2024-08-23 10:18:00,0.000912623228170572
Governor Michelle W. Bowman,Brief Remarks on the Economy and Monetary Policy,2024-05-03 10:00:00,2024-05-03 10:08:00,0.0008594048531197637
Chair Jerome H. Powell,Opening Remarks,2024-04-03 10:00:00,2024-04-03 10:11:00,0.000664647406367676
Governor Michelle W. Bowman,Statement by Governor Michelle W. Bowman,2024-09-20 10:00:00,2024-09-20 10:04:00,0.0005845648376616977
Governor Lisa D. Cook,"Hope, Promise, and Mentors",2024-04-01 10:00:00,2024-04-01 10:06:00,0.0005809914471998792
Governor Michelle W. Bowman,Risks and Uncertainty in Monetary Policy: Current and Past Considerations,2024-04-05 10:00:00,2024-04-05 10:32:00,0.0005669884496300553
Governor Michelle W. Bowman,The Future of Stress Testing and the Stress Capital Buffer Framework,2024-09-10 10:00:00,2024-09-10 10:30:00,0.0005446823227825364
Governor Adriana D. Kugler,The Outlook for the U.S. Economy and Monetary Policy,2024-04-03 10:00:00,2024-04-03 10:19:00,0.0005419712762479328
Governor Michelle W. Bowman,Recent Views on Monetary Policy and the Economic Outlook,2024-09-24 10:00:00,2024-09-24 10:17:00,0.0005156872174871003
Vice Chair Philip N. Jefferson,Economic Uncertainty and the Evolution of Monetary Policymaking,2024-04-16 10:00:00,2024-04-16 10:19:00,0.0004846254789581751
Vice Chair for Supervision Michael S. Barr,The Next Steps on Capital,2024-09-10 10:00:00,2024-09-10 10:24:00,0.00047881632339472226
Governor Christopher J. Waller,Some Thoughts on r*:  Why Did It Fall and Will It Rise?,2024-05-24 10:00:00,2024-05-24 10:25:00,0.0004628398489306252
Governor Michelle W. Bowman,"Bank Liquidity, Regulation, and the Fed's Role as Lender of Last Resort",2024-04-03 10:00:00,2024-04-03 10:29:00,0.00045306009427704003
Governor Michelle W. Bowman,"Tailoring, Fidelity to the Rule of Law, and Unintended Consequences",2024-03-05 10:00:00,2024-03-05 10:18:00,0.00044985716542460507
Governor Lisa D. Cook,Lessons from the American Economic Association Summer Program,2024-06-14 10:00:00,2024-06-14 10:10:00,0.0004342538270155542
Governor Christopher J. Waller,The Time Has Come,2024-09-06 10:00:00,2024-09-06 10:18:00,0.00043222040032533997
Governor Lisa D. Cook,"Artificial Intelligence, Big Data, and the Path Ahead for Productivity",2024-10-01 10:00:00,2024-10-01 10:17:00,0.0004240952390498903
Governor Michelle W. Bowman,Opening Remarks,2024-04-18 10:00:00,2024-04-18 10:08:00,0.00042296170157829634
Governor Michelle W. Bowman,Building a Community Banking Framework for the Future,2024-10-02 10:00:00,2024-10-02 10:40:00,0.0004131564024929535
Governor Lisa D. Cook,"Entrepreneurs, Innovation, and Participation",2024-10-10 10:00:00,2024-10-10 10:19:00,0.000403140837269869
Vice Chair for Supervision Michael S. Barr,Commencement Remarks,2024-05-10 10:00:00,2024-05-10 10:12:00,0.00038493780493549105
Governor Adriana D. Kugler,Disinflation without a Rise in Unemployment?  What Is Different This Time Around,2024-03-01 10:00:00,2024-03-01 10:25:00,0.00038212250350820706
Governor Christopher J. Waller,Getting Closer,2024-07-17 10:00:00,2024-07-17 10:21:00,0.0003779020190835335
Governor Christopher J. Waller,"Thoughts on Quantitative Tightening, Including Remarks on the Paper ""Quantitative Tightening around the Globe:  What Have We Learned?""",2024-03-01 10:00:00,2024-03-01 10:26:00,0.0003770477587686515
Governor Michelle W. Bowman,The Path Forward for Bank Capital Reform,2024-01-17 10:00:00,2024-01-17 10:22:00,0.00036065032862346607
Governor Michelle W. Bowman,Opening Remarks,2024-06-25 10:00:00,2024-06-25 10:05:00,0.00035978029185863977
Vice Chair for Supervision Michael S. Barr,Opening Remarks,2024-01-17 10:00:00,2024-01-17 10:06:00,0.0003587789282728734
Governor Christopher J. Waller,Almost as Good as It Gets…But Will It Last?,2024-01-16 10:00:00,2024-01-16 10:21:00,0.000348926181404555
Governor Michelle W. Bowman,"Bank Mergers and Acquisitions, and De Novo Bank Formation: Implications for the Future of the Banking System",2024-04-02 10:00:00,2024-04-02 10:23:00,0.00034305073627979236
Governor Michelle W. Bowman,Remarks on the Economic Outlook and Financial Inclusion,2024-08-20 10:00:00,2024-08-20 10:23:00,0.00034213794634577465
Governor Christopher J. Waller,There’s Still No Rush,2024-03-27 10:00:00,2024-03-27 10:21:00,0.00034105267437542383
Governor Adriana D. Kugler,The Outlook for the Economy and Monetary Policy,2024-02-07 10:00:00,2024-02-07 10:20:00,0.00032784783257314935
Governor Michelle W. Bowman,Challenges to the Community Banking Model,2024-10-11 10:00:00,2024-10-11 10:17:00,0.0003262520226372117
Governor Michelle W. Bowman,Opening Remarks,2024-10-23 10:00:00,2024-10-23 10:07:00,0.00032403995136696647
Governor Lisa D. Cook,Sources of Uncertainty in the Short Run and the Long Run,2024-02-22 10:00:00,2024-02-22 10:21:00,0.0003180105932444862
Governor Christopher J. Waller,What’s the Rush?,2024-02-22 10:00:00,2024-02-22 10:21:00,0.0003180105932444862
Governor Christopher J. Waller,Welcoming Remarks,2024-06-24 10:00:00,2024-06-24 10:06:00,0.000314226474160863
